"tokens_lem","class"
"wife threaten leave wife good cheat twice lie much decide refuse back day ago begin threaten suicide tirelessly spend day talk keep hesitate want believe come back know lot people threaten order get way happen really suppose handle death hand still love wife deal get cheat constantly feel insecure worry today may day hope much happen","suicide"
"weird get affect compliment come someone know feel really good stranger","non-suicide"
"finally almost can never hear bad year ever swear fuck god annoy","non-suicide"
"need help cry hard","suicide"
"name adam struggle year afraid past year thought suicide fear anxiety close limit quiet long scare come family feeling year ago lose aunt trigger everyday feel hopeless lose guilty remorseful thing do life thought like little experience life time reveal feeling family break see cut watch get worry something portray average day make feel absolutely dreadful late find attempt survivor attempt overdose pill attempt hang happen blackout pill never go noose still afraid first therapy diagnose severe depression social anxiety eat disorder late transfer group therapy reason make feel anxious eventually last session therapy show result daily check feeling step survey mom dad come find putting feel horrible afraid anxious everyday mom absolutely amaze describe happy ever see therapy help eventually put anti anxiety anti depression sorry forget never finish first prescription ever find right type anti depressant mom think want drug take recommend pill schedule week stop take time feel bad afraid damage worry cause even now everything go afraid ever relapse cut develop severe insomnia day day feel hopeless worthless question still motivation move bed keep go ask nearly every night almost break please please please someone anyone help scare may something drastic shape fear anxiety anymore","suicide"
"know even just feel like nothing nowhere can feel either nothing sad ignore friend every can feel like loose hurt everyone talk cause anything good behind education feel alone first time feel enjoy hope dream care nothing family friend even still love complicate word describe something end know strong brave enough know weak make sad thing can push away emotion empty bad use way normal understand people hope dream mention bad feel just get scare die bring talk realise can even comprehend life mean anyone know just ramble probably regret post ill think take place someone bad time gun head people see help instead ill probably may plus life meaningless future bleak cure cancer something useful sorry waste time","suicide"
"trigger warn excuse self inflict burn know crisis line use panic attack know healthy thing something stupid impulse burn really need help excuse father daughter know history together year see bad always cut ankle wrist think excuse easy one cut work car last night self harm long time just without think usual impulse lose moment say touch something hood car still hot almost curve like pattern first forearm little side wrist inch long kind wide little deep think car excuse good one need say work explain burn maybe wire behind engine go fix touch engine want self harm just need able explain","suicide"
"end tonight can anymore quit","suicide"
"everyone want edgy make self conscious feel like stand can draw yes play guitar honestly feel like stick past taste music rock alt metal really make feel unique just style see friend classmate get rap hard feel like fit feel like stand other copy style just another quirky kid phase many friend say look good style agree hard continue can even stand edgy people wear cross wallet chain really feel like fit category scare people may confuse clout chaser fuck boy goddamn hate life","non-suicide"
"life year year old balding male hairline trash make matter bad head huge bipolar depression cripple social anxiety balding cherry top wear hat even room alone can stop think pop day try numb pain work little bite come crash back twice hard come don know communicate people anymore don know keep relationship use one popular kid dad pass away feel deep dark hole arrest numerous time mental hospital name reason haven kill yet mom brother dead long ago get point even love support go enough keep alive anymore either go guy kill guy go bald look like child one choose","suicide"
"take rest sleep pill can wait end struggle past year finally end","suicide"
"can imagine get old neither wrinkle weight gain hair loss mess tooth bone health issue menopause hormone hate new generation amp way world progress useless angry piece shit can take care totally depend people secretly want die already can even imagine absolutely even happy take life just avoid","suicide"
"think get hit train painful gun hard come country train just want suffer though think painless method suicide","suicide"
"death post see something interest ask information know get back bunch people want thing always spit back personal information make thing bad obviously less bunch troll laugh end desire self terminate grow strong little leave now still bitterness just bite strong now main goal throughout process minimize subsequent fallout certainly nice patron forum respectful privacy obviously bite ridiculous expectation consider source","suicide"
"arrest feel","suicide"
"fuck smart family can even watch porn anymore feature","non-suicide"
